"no", "2021-07-23T20:04:49Z", "silverorange", "2021-07-intermediate-developer-candidate-04"
"no", "2021-07-23T20:04:58Z", "silverorange", "2021-07-intermediate-developer-candidate-05"
"no", "2021-07-23T20:05:08Z", "silverorange", "2021-07-intermediate-developer-candidate-06"
"no", "2021-07-23T20:05:21Z", "silverorange", "2021-07-intermediate-developer-candidate-07"
"no", "2021-07-23T20:05:29Z", "silverorange", "2021-07-intermediate-developer-candidate-08"
"no", "2021-07-23T20:05:38Z", "silverorange", "2021-07-intermediate-developer-candidate-09"
"no", "2021-07-23T20:05:48Z", "silverorange", "2021-07-intermediate-developer-candidate-10"
"no", "2021-07-23T20:05:56Z", "silverorange", "2021-07-intermediate-developer-candidate-11"
"yes", "2021-08-09T19:11:19Z", "silverorange", "remote-week-hackathon"
"no", "2021-09-24T20:29:39Z", "silverorange", "starships"
